id,text,humor_target
tweet8046,"Difícil es recordar si la chica de anoche estaba muy, pero muy hermosa, o si yo estaba muy pero muy borracho. No lo recuerdo.",substance use
tweet7461,"- En una escala del 1 al 10, ¿Cuánta ansiedad le provoca estar a dieta?

- ¿Me puedo comer la escala? - No.

- Entonces 13.",body shaming
tweet20516,"Cual es el colmo de un fotografo:
-que la mujer se le revele...",professions
tweet18449,"No sé en qué round de la vida voy, pero me está acomodando una buena putiza.",self-deprecating
tweet21626,Un hombre sin lengua puede mantener un secreto pero no a su esposa.,family/relationships
tweet19923,"-Hijo, ¿no te parece que dormís mucho?
-Jesús durmió tres días y lo amas por sobre toda las cosas.",religion
tweet15705,"Cosas que he aprendido en el colegio:
—Enviar Whatsapp's sin mirar.
—Dormir sin ser descubierto.
—El trabajo en equipo en los exámenes.",self-deprecating
tweet14767,¿Pur qué no me han nominado a mejor entrenador femenino si entrené a Cristiano?,lgbt
tweet10503,¿Por qué se dice que los mexicanos son muy espirituales? Porque siempre dicen ¡órale!,ethnicity/origin
tweet2863,"Tengo mucha comezón en el cuello, ojalá alguien me rascara

 CON UN CUCHILLO BIEN FILOSO ALV",self-deprecating
tweet19909,"—Oye, ¿Tienes alguna Enfermedad de transmisión Sexual? —Sífilis ¿y tú? —Nófilis —JAJAJÁ somos un desmadre! lo malo es que ya me voy a morir.",health
tweet9907,"A falta de sexo, a joder a mis alumnos.  

—Todas las maestras.",professions; women
tweet13245,Viejito se levanta a media noche a orinar y dice a su pene: Te fijas desgraciado!? Cuando tu tienes ganas yo si me paro by @w3r7zhitho,age
tweet15335,Mi mente le hace bullying a mis sentimientos.,self-deprecating
tweet23118,"—Doctor, dígame la verdad, ¿Cómo está mi hija?   

—Pues, sinceramente, yo si me la echo.",professions
tweet17044,—¿Tan linda y sin novio? —¿Tan grande y tan bobo?,men; women
tweet1830,"""Hoy voy a beber y se que voy a enloquecer""

—Pedrito, 11 años su mama le preparó 2 vasos de leche antes de irse a dormir, mojó la cama.",age
tweet23894,La hinchada de Irán la está pasando bomba en Rusia,professions
tweet16450,"""¿Por qué no mejor te dejas de mamadas y tratas de ser feliz?"".

—Yo, si fuera psicólogo.",self-deprecating
tweet23138,"—Hoy te ves bonita.

—Ayer me veía fea o ¿qué chingados?",body shaming; women
tweet18626,"Esa no es la luna, es el penal de Higuaín.",professions
tweet7195,"Tres formas de iniciar una pelea con una mujer:

1.- Decirle que si.
2.- Decirle que no.
3.- Quedarse callado.",women
tweet20194,"#chiste Ayer en el desayuno me acordé de ti. 
—¿En serio? ¿Qué desayunaron? —CARNITAS DE PUERCO #chistes RT",body shaming
tweet11892,"—Mamá, en la escuela un extraño nos ofreció drogas. 
—¿Y qué hiciste? 
—Le compré al de siempre. 
—Asi es hijo, a desconocidos nada.",substance use
tweet8818,"los hombres somos como los pedos, se los pueden tirar cuando quieran guau",men
tweet2010,"- ¿Te han dedicado una canción?
- sí.
- ¿Cuál?
- El Feliz Cumpleaños.",self-deprecating
tweet19660,Jaimito llega a clases llorando y la maestra le pregunta: -¿Qué pasó? -Me atracaron! -¿Y qué te quitaron? -La tarea!,age
tweet20198,"—A veces me siento como una paloma... —¿Libre? ¿Independiente? ¿Símbolo de paz? —No, siempre la cago en todo",self-deprecating
tweet14912,"No sere lindo, pero soy feo.",self-deprecating
tweet3194,"Cómo terminar una relación con estilo:
— Tu ex es muy guapo.  
— ¿Cuál? 
— Yo, ¡adiós!.",family/relationships
tweet1799,"#Chiste Ella no es PUTA, solo es de vagina caritativa. #chistes RT",professions; women
tweet2112,"Congelen a Rafa Márquez, lo vamos a necesitar en Rusia 2018.",professions
tweet8515,Venezuela como reguetonera borracha.... Era lógico que se la iban a meter,professions; women
tweet4891,"Niñas de 13 años que tienen 13 años, que vergüenza, yo a su edad tenía 13 años.",age
tweet19634,Llega juanito a su casa -Mama mama... en el colegio me dicen PLAN B!!! - Por que hijo mio??? -Es un secreto...♪♫ #chiste via @searyaez,professions
tweet19905,"—¡Mírame las tetas!
—No puedo, tienes unos ojos muy bonitos.

*TODOS LOS HOMBRES SIEMPRE*",men
tweet4929,"Mamá voy a salir: ¿A dónde?, ¿Con quién?, ¿Tipo de sangre?, ¿Signo zodiacal?, ¿Cartilla de vacunación?......

Papá voy a salir: Ok,bye!",family/relationships
tweet9741,"—¡No mames, mi amor, hoy estás muy delgada!
—Estás viendo una radiografía, pendejo.
—Ya se me hacía raro. ¡Pinche gorda!",body shaming
tweet11959,"“Lo que pasa en Las Vegas, se queda en las Vegas”. 

—Los dientes de Chávez Jr.",professions
tweet13244,"—¡Qué aburridos son ahora los programas de la tele! —Abuelo, no es la tele, estás mirando el microondas. @chisteloco.",age
tweet19756,"-¿Estas resfriado? 
-DO :)",health
tweet16526,"Opinaría de los #Oscars,  pero mis películas favoritas son, Chicas Pesadas, Un Chihuahua en Beverly Hills y Scooby Doo en Horripilandia.",self-deprecating
tweet6237,"Mujeres, si un hombre no les responde rápido, seguro está leyendo la Biblia. Los hombres no engañan, no sé quién les mintió a todas ustedes.",men
tweet8815,"Mi vecina, la fea, tiene 2 hijos, uno de 6 y otro de 17, igual insisto con que son gemelos. Es imposible que se la hayan garchado dos veces.",body shaming
tweet13667,El alcohol no soluciona tus problemas. Pero bueno el agua tampoco.,substance use
tweet16644,"— Oye, ¿cómo te llamas? — Chuchi, ¿y tú? — Estorbo — JAJAJAJA nooo, ¿como mi suegra?",family/relationships
tweet16189,Todos los días me encierro en el baño a escuchar hotline bling para que nadie se de cuenta que estoy escuchando hotline bling,professions
tweet17676,"— Jaimito ¿Cómo se llama el hombre que come hombre? 
— Cacorro
— Se la valgo, pero era canibal. #JAJAJA #XD",lgbt
tweet11480,me pinté las uñas y ahora me dieron ganas de acostarme a dormir la siesta y no puedo pq se me va a correr todo q ganas d haber nacido nene,women
tweet15540,"Era una chica tan fea, que cuando salía de campamento los lobos encendían fuego para que no se les acercara! #fb",body shaming
tweet1255,"Había un albañil tan malo tan malo, que se le caía hasta el muro del Facebook!",professions
tweet18241,"“¿Tienes gripa?”

-Todo mundo a alguien que EVIDENTEMENTE tiene gripa.",health
tweet18819,"*Dos chinos hablando* —Ayel me complé un coche nuevo —¿Sí? —Sí mila, es ese —¿Y que malca es? —Un Alfa —Lomeo? —Lo meas y te lompo el cuello",ethnicity/origin
tweet3015,"Judas no era tan traidor si lo comparas con esas personas que empiezan a ver una serie contigo, y después se ponen a ver capítulos sin ti.",religion
tweet3789,señor le tengo 2 noticias una mala y una buena.  la mala : es q su hijo es gay  y entonces la buena? -que es la reina del salon #chistes RT,lgbt
tweet7560,"—¡Oh, por Dios! Soy el visitante número 9,999.

—¡No papá, es un virus!

—Cállate, tú no quieres que gane ese iPhone 6 y ese viaje a Hawai.",age
tweet13406,"El mejor maestro es el tiempo.

-Alguien que no ha acabado la secundaria.
#DiaDelMaestro",age
tweet8153,"Van cuatro mujeres en un coche, ¿quién conduce?
La Grua.",women
tweet23061,"La manicura no me pudo atender, estaba hasta las manos",professions
tweet19189,"¿Por qué las mujeres ven las películas porno enteras?.
Porque creen que al final se van a casar.
#Chistes #Humor ...",women
tweet12461,Un niño a embarazada en la esquina: -¿Sra que espera? -Un camión -Vaya! Entonces se acostó con un transformer! by @ceciichivas #fb,age
tweet8632,"A lo largo del tiempo he aprendido que la “EX” es como Voldemort.

¡JAMÁS DEBE SER NOMBRADA!",family/relationships; women
tweet18337,Macho alfa que se respeta siempre arruina un momento cursi con alguna pendejada.😌,men
tweet11871,Lo bueno de ser soltero es que puedes salir los sabados a donde quieras. Yo por ejemplo estoy en casa de mis tías. Llorando.,self-deprecating
tweet11496,"El 2017 y sus grandes tragedias en la música:

1. La muerte de Chris Cornell.
2. La muerte de Chester Bennington
3. ""Despacito""
4. Maluma.",professions
tweet16824,"—Se quedó bien dormida mientras preparaba los tamales.
—Oye Cerati, eso suena feo.
—Bueno ponle: ""ella durmió, al calor de las masas"".",professions
tweet17537,"""Riquelme pasate a nafta hijo de puta"" #chistes",professions
tweet14605,"No hay nada mas necio que un corazón enamorado. Excepto un limpiaparabrisas, a ellos les dices que no y les vale verga.",professions
tweet18894,"Todo mundo tiene derecho a cometer estupideces, pero muchos abusan de ese privilegio... y terminan de políticos.",professions
tweet3863,Si bajo 2 kilos subo 7 de la emoción.,body shaming
tweet22596,"—¿Qué somos?
—¡Médicos!
—¿զᵘᵉ զᵘᵉʳᵉᵐºˢ?
—¡ռթ lթ էﻪъεოթէ!
—¿lεսรﻪէ ﻪรﻪъεէ զﻪรﻪ քﻪ८ε? —¡ج كm فا جيmف جفيo فo",professions
tweet8652,"2 gallegos entraron al supermercado desnudos
Porque afuera decia 50% de descuento en pelotas
#chistes",ethnicity/origin
tweet23772,"Mamá, en el cielo hay leyes?.-No nene, no ves que para tener leyes tiene que haber políticos y abogados...",professions
tweet6297,"#Chiste ‎""Era un niño tan feo, tan feo que cuando jugaba a las escondidas... nadie iba a buscarlo"" #chistes RT.",body shaming
tweet584,"Oye, deberías pedir trabajo ahí -¿Por qué lo dices, amor? -Porque ahí dice: ""INTERESADAS"" pedir informes.",women
tweet13772,"“Lo importante es participar”

—Yo, saliendo del examen.",self-deprecating
tweet81,Pasa una mujer y jaimito le dice: oye te dolio? -Que cosa? -Cuando te caiste del cielo! -Ay q lindo -Noo es q te quedo la cara vuelta mierd@,body shaming; women
tweet23623,"—¡Mosca! Hay una sopa en mi camarero.  —Señor, creo que usted tiene dislexia.  —Madre tu puta.",health
tweet7914,Licué frutillas con leche y tengo miedo de haber salido del armario sin darme cuenta.,lgbt
tweet2603,"#chiste
¿Cuál es el colmo de un bombero? -Tener una mujer ardiente.",professions
tweet2689,"- Hola Linda.
- ¿¿¿A quién le dices linda??? 

- Mi amor, ella se llama así. 

- ¡Me da igual! ¡Llámala por su apellido!",family/relationships
tweet22317,"-Mi prima se acostó con todo el edificio , menos con el portero.
-¿Es feo?
-No, es automático @rrouvier",women
tweet22802,"_ Mamá mamá, en el colegio me llaman loco
- Y quién te dice eso?
_ Las paredes, las puertas y las sillas",health
tweet15130,"—Doctor, voy mucho al baño por las noches, ¿que me recomienda?

—Que deje prendida las luces del pasillo.",professions
tweet23341,"-Doctor, ando distraída, no me concentro. ¿Qué tengo? -Usted tiene Twitter -JAJAJA ¿lo publicas vos o yo? -Publícalo que yo le doy RT.",technology
tweet3004,"¿En que se parece un hombre a un cajero?

En que si no te da dinero no sirve para nada.

#Chistes #Humor #Anecdot...",men
tweet5137,Casillas se acaba de pedir una semana más de vacaciones en Miami para buscar el balón de Ramires.,professions
tweet4424,"Y dios le dijo a eva: Pagarás esto con tu sangre!

Y Eva le respondió: lo puedo pagar a plazos?

Y ASÍ SE CREÓ LA MENSTRUACIÓN.",religion; women
tweet20485,Que hace un leproso tirandose de un puente?... Juega al tetris!,health
tweet17411,"Como anda Maria - HASTA LAS MANOS. . -¿QUÉ LE PASA?
ES MANICURA
#chistes",women
tweet21967,"Una mujer entra al oftalmólogo. El dr le dice ""Señora la vamos a operar de urgencia"", ""por qué doctor?"" ""Pq acaba de saludar al perchero""",professions
tweet12658,"—Disculpe, ¿tiene la pastilla del día siguiente?
—No, señorita.
—Bueno, entonces deme 40 patadas en el estómago.",women
tweet11628,Un años después del #MatrimonioIgualitario vamos a estar peleando por el #divorcioigualitario,lgbt
tweet8965,"Si te parece una estupidez lo que escribí, imaginate lo que escribí y borré porque a mi me pareció una estupidez.",self-deprecating
tweet18758,"—Papá, ¿qué es modestia?
—No alardear de los méritos propios.
—Qué listo eres, papá.
—Lo sé; soy el puto amo, un crack.",family/relationships
tweet17714,"Amor, amor; compré unos condones con sabor; apaga la luz y adivina de
qe sabor son...
-Hmm
Pescado con queso!
-No esperate a que me lo ponga",men
tweet21079,"—Buenas, ¿cuánto valen los chocolates Ferrero?
—$140.
—¿Y el bote de Nutella?
—$60.
—¿Y los m&amp;m's?
—$40.
—¿Me regala un Duvalín?",social status
tweet16759,"9 de cada 10 mujeres tienen un genio de la chingada, la otra también pero es tu novia y te callas porque sino te parte tu madre.",women
tweet14743,Un grupo de WhatsApp de mujeres tiene más secretos que el gobierno de Estados Unidos.,women
tweet23190,Le dijeron a la renga que escoja,health
tweet12162,Siempre terminen bien con tu ex porque la madurez es una virtud que te permitirá seguir usando su cuenta de Netflix.,family/relationships
tweet12684,"""Las mujeres como las bolsas de hielo, con unos putazos aflojan""

 #MachistaComoMORENA",women
tweet22050,¡No al maltrato animal! ¡Mi ex merece vivir!,family/relationships
tweet1616,"Soy como Messi, no la meto.",professions; self-deprecating
tweet735,"Hay 5 putas en la calle, Ya, Ye, Yi, Yu, ¿cual falta?",women
tweet3218,"- Quieres ser mi novia? - Sorry I don't speak Spanish. - Do you want to be my Girlfriend? - Lo siento, no hablo inglés.",women
tweet23658,Odegaard tiene magia. Ha sido empezar a jugar contra Croacia y ha desaparecido todo el partido. No veía algo igual desde Harry Potter.,professions
tweet9754,Un policia a un borracho :-identifiquece ! el borracho saca un espejito lo mira y dice :-si soy  yo . #chistes,substance use
tweet9977,"-Mamá en la escuela me dicen gorda -Pobresilla -Sí, ¿verdad que no estoy gorda? -No, digo, pobre silla, la vas a romper. - MAMAAAAÁ!!!",body shaming
tweet17989,—Hola ¿cómo te fue en tu operación de oído? —Sí.,health
tweet9425,"#Chiste ‎1ºacto yo haciendo tarea 2ºacto yo estudiando 3ºacto yo recogiendo mi cuarto como se llama la obra?""no tengo internet"" #chistes RT",self-deprecating
tweet5540,"—Mamá, hasta en mis sueños me dicen gorda. 
 —Tranquila, hija, solo son pesadillas. 
—¡¿QUESADILLAS?! ¿Dónde? #XD",body shaming
tweet21796,Esto de ser daltónico jode bastante porque se te mezclan los chistes verdes con el humor negro.,health
tweet2463,"—¿Tiene pastillas para la diarrea? —Espere... Sí, ¿Cuántas quiere...? —JAJAJÁ no, ya no, ya olvídalo. Mejor deme un papel higiénico.",health
tweet14600,"— Quiero un hombre que me ame por lo que soy, no por lo que tengo

— Yo te amo por lo que eres

— Pero, eres pobre.",social status
tweet2949,"—Disculpe, joven, ¿Cuánto cuesta esto?  
—Jajajá no señora, yo no trabajo aquí.  
—Ay qué pena, disculpe. 
 —Descuide, vieja pendeja. #XD",age
tweet20601,"Cuantos hombres se necesitan para cambiar 1 bombita? 3 , 1 la cambia y los otros 2 lo escuchan fanfarronear sobre como la metiò - #CHISTES",men
tweet10340,"—Hijo te compré el nuevo Call of Duty en 3D

—Abuelo, estos son boletos de avión a Gaza y Ucrania…

—¿Te gustan o no las guerritas, maricón?",age
tweet14644,"Hola. (Está enojada)
Holaa. (Normal)
Holaaa. (Te extraña)
Holaaaaa. (Ven ya)
Ola. (Es una llama)
hOoliiz (Retrasada)
Oaaa. (Teletubbie)",women
tweet20674,Era tan petisa que se pisaba el ilo del tampón.,body shaming
tweet22956,"Están naciendo muchos niños igualitos a Onur Aksal.
Porque los hombres tienen las bolas llenas con las mil y una noches!",men
tweet14269,Todo es risa y diversión en Youtube hasta que te das cuenta de que no tenías encendido el Wi-Fi y estabas usando tus datos.,technology
tweet13823,"Llega un policia y le dice a un flaco :
-Entregame las drogas!!!
-Cuales drogas señor duende???   #CHISTES",substance use
tweet14948,"- ¿Qué tal en el gimnasio?
- Pues me estoy poniendo en forma. 
- ¿Ah, sí? 
- Sí, en forma de bola. No voy.
#Chist...",body shaming; self-deprecating
tweet12484,"Discutir con una mujer es como discutir con el árbitro; aunque tengas la razón, NUNCA LE VAS A GANAR.",women
tweet15962,"""Fue divertido mientras duro"".

—Juanito, 10 años, su mamá sólo le dio dinero para una hora de xbox.",age
tweet23727,-¿Cómo le andan los audífonos nuevos abuelo? -Las cuatro y media m'hijito,age
tweet22103,"Detienen al tipo y lo llevan ante el juéz
Y le dice el juéz :
!Señor su suegra lo acusa de intento de homicidio
¿¿uyy cómo así ? SOBREVIVIÓ?",family/relationships
tweet17226,"Mas asustado que atun  en semana santa..!
#chistes",religion
tweet6683,"-Oiga sr. banquero, ¿aquí hacen préstamos familiares? -Sí -¿No me podría prestar a su hermana? #fb",professions
tweet2635,"- Amor, de ahora en adelante te llamaré ""Eva"" por ser mi primera mujer.
- Vale cariño, entonces yo te llamaré ""dálmata"" por ser el 101.",women
tweet508,"Pasa un niño y otro niño le dice: -¡Adiós bizco! Y él contesta: -Adiós, par de maricas! #fb",body shaming
tweet22302,Más vale estar soltera y parrandera que casada y barrendera.,women
tweet11327,"Las relaciones amorosas son como los trabajos en equipo, mientras uno se hace pendejo, el otro se mata trabajando para que todo salga bien.",family/relationships
tweet2909,"De novios:
— “Ay te echaste un pum ¿verdad amor ?

De casados:
—”No chingues, lárgate a pedorrear al baño”.",family/relationships
tweet19544,El partido está tan aburrido que bien podría ser el último álbum de Arctic Monkeys.,professions
tweet22481,"Informático en la prehistoria: — Este fuego funciona mal, da poco calor y la carne la deja cruda — Has probado apagarlo y encenderlo?",professions
tweet12727,"- ¿Nos juntamos a estudiar?
-Dale, yo llevo las cervezas :)
*Yo con mis amigos, siempre.*",self-deprecating
tweet8553,"Yo:

2014: soltero.
2015: soltero.
2016: soltero.

Consistencia muchachos, consistencia.",self-deprecating
tweet7710,"Anoche llegue a un bar y el tipo me preguntó qué quería tomar, le dije que tu mano. Y me puse a hablar de ti. Como siempre. Como a todos.",family/relationships
tweet18820,"Todo el mundo yéndose de vacaciones, pero como dice mi mamá, yo no soy todo el mundo.",self-deprecating
tweet14231,"—¿Cuál es su talento? —Dormir, Comer y tener sueño.",self-deprecating
tweet22698,"Un borracho en moto sigue de largo en una curva. El policía le dice:
¿Sr. no vio la flecha?
-¡No la vi! Malditos indios.",substance use
tweet20072,"Era un niño tan feo tan feo que, cuando nació, el médico preguntó donde estaba la cámara oculta.",body shaming
tweet8170,"- ¿Tienes novio?

- Para ti tengo novio, amante, esposo y soy lesbiana.

- Te pregunté que si tenias novio, no que si eras puta.",women
tweet156,Algún día les voy a contar del Boludo que desayuna café con empanadas. Ahora no porque me cago encima. Me cayó mal el café con empanadas.,self-deprecating
tweet21756,"Ya le hable al camionsito que baña a los perros, para que bañe y despulgue a ese perro culazo que te cargas.",body shaming
tweet21510,"Yo por eso no voy a las peluquerías.
Ta, que casi no tenga pelo es un detalle.",self-deprecating
tweet3731,"Nunca dejen de buscar la felicidad en las pequeñas cosas de la vida, por ejemplo en un pequeño shot de tequila.",substance use
tweet21848,— ¿Traes condón? — ¡No! — ¿Y por qué no lo trajiste? — Pues no pensé que fueras tan perra.,women
tweet3595,¿Qué le dijo un transformista  a otro ..? Nunca cambies...#chistes,professions
tweet4624,"#MiRegaloFue 
–Mi religión me prohíbe dar regalos en Navidad.
–¿Cuál es tu religión?
–La pobreza :(",social status
tweet20566,"Jajaja: Le dio risa.
Jijiji: Es gay. 
Hahaha: Se siente gringo. 
Jakajakaha: Tiene retraso mental. 
Jamaica: Tiene un iPhone.",technology
tweet18188,A la mujer hay que mostrarle interés pero no tanto porque se espantan y no tan poquito porque se aburren y no más o menos PORQUE ESTÁN LOCAS,women
tweet22104,"¿Por qué es tan difícil encontrar hombres sensibles, románticos y guapos? Porque los hombres así ya tienen NOVIOS. #fb",lgbt
tweet6410,A esta hora te das cuenta de los que están mamadoa porque empuezan a escribir cualgdyer fxgdugsa,substance use
tweet6978,"#Chiste Ayer pasé por tu casa y me lanzaron un Blackberry, sino me agacho, Pin! #chistes RT.",technology
tweet10129,"Top 5 amores de las mujeres: 

- Ropa. 
- Ropa. 
- Ropa.
- Ropa.
- Hombres que puedan comprar ropa.",women
tweet6010,Le dice un borracho a una señora que está dando pecho! -Señora hip! Aunque no lo crea su hijo me invitó a cenar! #fb,substance use
tweet23403,Me dicen el Messi del sexo : Mess i medio sin ponerla .. #BalóndeOro #messi,self-deprecating
tweet1966,Le he pedido la camiseta firmada a Özil y me ha dado la capa de invisibilidad de Harry Potter.,professions
tweet20552,¿Qué debo decir en una reunión de alcohólicos anónimos si alguien estornuda?,substance use
tweet18451,"Si lo amas, déjalo salir a tomar con sus amigos.
Si te llama borracho, es tuyo.
Si apaga el celular, nunca lo fu...",men
tweet4072,No sé si me despertó el hambre o la pobreza,social status
tweet22624,"Típico: abres la ventana para que salga un mosquito... Y terminan metiéndose 6 moscas, 2 cucarachas, 3 arañas y un testigo de Jehová.",religion
tweet8340,"Si lo bueno tarda en llegar, entonces lo mío debe ser demasiado bueno.",self-deprecating
tweet8782,"—¿Estás bien princesa? ¿Qué te pasó en la cara?
—Me acabo de quitar el maquillaje...",body shaming; women
tweet9766,"-Doc, ¿cómo está el paciente?
-Pued mide, ed padiente mudió.
-NO ME JODA.
-No, no mejoda, ni mejodadá, mudió.",professions
tweet19185,"""Donde vos ves celulitis
Arjona ve un Gran Rex""

Ludwig van Beethoven",age; body shaming; women
tweet4684,"Mi amigo no levanta la cabeza, se ríe solo, no habla con la gente y cuando le hablan, no presta atención ¿Qué tiene?: Un BlackBerry",age
tweet16663,"Dios, tengo dos preguntas para vos.
La primera es: 
¿las cosas me van a salir bien algún día?
y la segunda:
¿Por qué no?",self-deprecating
tweet4074,"Mi orgullo de hombre no me deja que tu pagues la cuenta de los tacos, pero mi pobreza si, así que pagalos, sin rencores.",men; social status
tweet11506,"Empezó como ""Loba"", después se puso ""Loca"" y terminó ""Rabiosa"". Alguien por favor lleve a Shakira con un veterinario.",professions
tweet10049,"Examen: Juan compró 4 uvas, se comió una y le dio otra a Pedro, calcula la masa del Sol.",professions
tweet17185,"Una gorda no te mandará a la temida FRIEND ZONE, jamás!!!! 

 #CampañaCógeteUnaGorda",body shaming
tweet20750,"— Tu ex es muy guapo 
— ¿Cuál ex, mi amor? 
— Yo. ¡Adiós!",family/relationships
tweet20797,"Dice un niño a su padre:-Papa ¿por que cuando me agacho veo cuatro huevos?-Porque te estoy dando por culo, hijo. #pedofilo",sexual aggressors
tweet20650,"Nuevo Samsung Galaxy S5: Incluye tres dormitorios, 2 baños, terraza, un amplio parque y cochera.",technology
tweet15661,"—Menores de 8 no pagan —Sí, él tiene 6 —¡Mamá! ¡Tengo 15! —¡Cállate, tienes 6!",family/relationships
tweet14348,"-Doctor, ¿se acuerda de mí? Usted me operó y me curó del dedo -Claro que me acuerdo ¡Vengan esos cuatro!",body shaming
tweet1433,"Tuitear a esta hora es como el presidente de Venezuela, inútil.",professions
tweet19077,"Si al Barça le arbitra Stark su partido de Shempions es porque ""Robo is coming"".",professions
tweet18536,"—Papá, quiero ser psicólogo.

—Estás bien pendejo si crees que te voy a comprar un taxi.",professions
tweet755,"Acá, en la pile tomando una rica cerveza con mi novia. Sin la pile, la cerveza y sin novia. O sea, acá nomas.",self-deprecating
tweet22508,"#chiste Ayer que te fuiste, me dejaste sin aliento. —Awwww que tierno! -¿Tierno, pendeja? Te llevaste mi inhalador, tengo asma! #chistes RT",health
tweet23604,"Doctor, es grave?.
-No, es aguda.
-Su primer día de consulta?
-Chi.",professions
tweet14822,Las tareas de búsqueda del avión malayo son una broma si lo comparas con encontrar a la defensa del Chelsea en el gol de Pastore.,professions
tweet21015,"¿En qué se parecen los hombres a las moscas?.
En que están ahí, te molestan, te los quitas, y vuelven a venir. 
#...",men
tweet13097,"Jesucristo fue admirable, todo lo que logró sin Twitter y con 12 followers y solo uno de ellos le hizo unfollow. by @hadacon #fb",religion
tweet11070,Un borracho va a Alcohólicos Anónimos y le preguntan: — ¿Vino solo? — No... ¡con hielito por favor!,substance use
tweet18785,"—Mi amor, ¿qué me darás en mi cumpleaños?
—¿Ves ese vestido azul de allá?
—¡Awww Siiii!
—Ah, pues una escoba del mismo color.",women
tweet19705,"""Es imposible"", dijo el orgullo. 
""Es arriesgado"", dijo la experiencia. 
""TODO YO HAGO EN ESTA CASA"", dijo mi vieja.""",family/relationships
tweet12193,"¡Mi novio es el que mueve a toda la gente en su trabajo!

¿Es el Gerente?

No, ¡Es el de la limpieza!",professions
tweet10177,"Cuando te llamaron alcohlica, como te lo tomaste?
-Me lo tome con Whisky! jajaja
-Siempre pasandote de la raya....
-COCAINA!!! DONDE??? #XD",substance use
tweet6402,"—Oye, ¿Es verdad que eres sordo? —Un poquito, pero ya me estoy poniendo a dieta.",health
tweet22207,"Mi amor, creo que es hora de dar el siguiente paso y que me vista de blanco. Ok, vamos a inscribirte a karate.",family/relationships
tweet17010,"""En el fondo, bajo todas sus capas de estupidez, es una buena persona. ""- Toda mujer defendiendo a su novio que claramente es un fuckboy.",women
tweet18417,#Chiste: Se saben el chiste del Chapulincolorado? ........no?........ lo sospeche desde un principio. #chistes RT.,professions
tweet7007,"Mi mujer me pide dinero en la mañana, a la hora de comer, en la tarde -Y qué hace con tanta lana? -No sé, nunca se la doy! #fb",family/relationships
tweet74,Teníamos una farmacia pero la cerramos porque no teníamos mas remedio. #fb,professions
tweet2363,#TodoEmpezóConUn follow en Twitter y terminó con una pelea por Facebook.,technology
tweet16456,—Jamás me habían dicho cosas tan lindas como lo que tu me dices. #MientoComoMujer. —Sólo a ti te las he dicho. #MientoComoHombre.,men
tweet3499,"Un borracho que se sube al bús y un religioso dice:
- ¡Estas yendo derecho al infierno!
- ¡Mierda, me he vuelto a equivocar de autobús! #RT",substance use
tweet22814,"No creo que sea una coincidencia, casi todos los desastres naturales tienen nombre de mujer.",women
tweet2678,#SiganHaciendo sus mamadas de vender el voto por unos pesos y al rato nos va a gobernar un pinche Reggaetonero.,professions
tweet816,"Yo iba a ser buena onda, pero me caí y el Diablo me chupó y me convertí en este ser amargado.",self-deprecating
