id,text,humor_mechanism
tweet15625,"-Mira mamá, esa mujer está demasiado GORDA -No Jaimito, no le digas así... Es una señora con DISCAPACIDAD HORIZONTAL!",insults
tweet14075,"—Mamá, ¿A donde vas? —Al super, ¿por? —Tráeme algo.",reference
tweet21903,"—¿Alguna pregunta jóvenes?
—¿Por qué en los picapiedras pueden ver tv si no había electricidad?
—De la clase.
—Ah, no.",misunderstanding
tweet12058,"-¿Te puedo dar mi opinión?
-Sí, claro. Pero primero dejá que yo te doy la mía.
-Dale, decime.
-Opino que sos un pelotudo.",insults
tweet23994,"—¿Nivel de inglés? —100% —Traduzca ""Escoger un zapato"". —Pick a shoe. —Haga una oración. —Pick a shoe, usa impact trueno! —¡Contratado!",wordplay
tweet10107,"No tengo aceite, voy al super.
*en el super*
Ah, un shampoo.
También me falta yerba.
Este huevito de pascuas y listo.
Total: $7.499,80",reference
tweet18906,"Come lo que quieras, y sí alguien intenta decirte algo sobre tu peso o tu forma de comer, cómetelo también.",absurd
tweet16644,"— Oye, ¿cómo te llamas? — Chuchi, ¿y tú? — Estorbo — JAJAJAJA nooo, ¿como mi suegra?",stereotype
tweet11068,"—Hijo, siempre tienes que tratar bien a las mujeres y respetarlas... siempre.
—Mi vida, ¿Qué le dices al niño?
—¡TÚ CÁLLATE PENDEJA!",irony
tweet6269,"Si eres gorda y no tienes tetas, debes ser consciente de que tu existencia es un error.",insults
tweet21089,*Abre la ventana* *Se meten animalitos del bosque* *empieza a trapear con el disco de Pimpinela*,absurd
tweet17476,"Un cocodrilo bebé a su papá:

-Cuándo sea grande voy a tener mucho dinero!

-¿Qué vas a ser?

-Cartera papá, cartera.",absurd
tweet23702,"Hoy me dijeron “que bonito” y me emocione, bueno en realidad me dijeron ”que bonito chingas” pero yo solo me enfoco en lo positivo.",irony
tweet23182,Dios me libre vacunarme contra la gripe y perder una oportunidad de presentar un certificado médico en el laburo.,irony
tweet17554,"La lesbiana indecisa no sabe que concha quiere 
#frases #chistes #realidad",wordplay
tweet16862,"Se tiraron de un precipicio una oruga y una almeja.
la oruga se transformo en mariposa y salio volando
y la almeja se hizo concha. #chistes",wordplay
tweet3007,"-Cariño, te veo mejor! -¿Pero cómo? ¡Si estoy más gorda! -Pues eso, que te veo mejor... #chistes",misunderstanding
tweet13180,"Hoy no pude ir, pero ahora sí el otro lunes entro al gym.  

—Yo, todos los lunes, desde hace tres años.",reference
tweet21532,"—Skrillex, ¿Qué se siente estar enamorado? —Asdfghjklñqwertyuiop &lt;3.",irony
tweet5803,¿De quien es el toro que no es ni de Juana ni de Chana...? Pues el toro de Lidia... #chistes #fb,wordplay
tweet20906,"-Papá, ¿qué es humildad?
-Es minimizar tus virtudes para exaltar las de los demás.
-Wow papá, qué profundo.
-Lo sé.",irony
